Major,Grade,Result,MajorGroup
ddt,4.29,Fail,Non-IT
ddt,5.46,Pass,Non-IT
ddt,3.13,Fail,Non-IT
ddt,5.08,Pass,Non-IT
ddt,3.96,Fail,Non-IT
ddt,4.65,Fail,Non-IT
ddt,3.63,Fail,Non-IT
ddt,4.83,Fail,Non-IT
ddt,3.75,Fail,Non-IT
ddt,4.88,Fail,Non-IT
ddt,4.88,Fail,Non-IT
ddt,5.63,Pass,Non-IT
ddt,5.29,Pass,Non-IT
ddt,3.71,Fail,Non-IT
ddt,5.15,Pass,Non-IT
ddt,2.9,Fail,Non-IT
ddt,4.71,Fail,Non-IT
ddt,5.23,Pass,Non-IT
ddt,7.88,Pass,Non-IT
ddt,5.88,Pass,Non-IT
ddt,5.54,Pass,Non-IT
ddt,6.08,Pass,Non-IT
ddt,4.75,Fail,Non-IT
ddt,5.4,Pass,Non-IT
ddt,8.31,Pass,Non-IT
ddt,7.5,Pass,Non-IT
ddt,4.67,Fail,Non-IT
ddt,4.13,Fail,Non-IT
ddt,7.17,Pass,Non-IT
ddt,8.67,Pass,Non-IT
ddt,5.33,Pass,Non-IT
ddt,7.92,Pass,Non-IT
ddt,7.83,Pass,Non-IT
ddt,4.79,Fail,Non-IT
ddt,5.92,Pass,Non-IT
ddt,6.21,Pass,Non-IT
ddt,7.4,Pass,Non-IT
ddt,5.29,Pass,Non-IT
ddt,5.73,Pass,Non-IT
ddt,7.92,Pass,Non-IT
ddt,5.33,Pass,Non-IT
ddt,5.65,Pass,Non-IT
ddt,5.42,Pass,Non-IT
ddt,5.73,Pass,Non-IT
ddt,8.25,Pass,Non-IT
ddt,4.0,Fail,Non-IT
ddt,4.88,Fail,Non-IT
ddt,7.21,Pass,Non-IT
ddt,5.27,Pass,Non-IT
ddt,5.06,Pass,Non-IT
ddt,8.38,Pass,Non-IT
ddt,5.79,Pass,Non-IT
ddt,4.73,Fail,Non-IT
ddt,8.17,Pass,Non-IT
ddt,6.33,Pass,Non-IT
cnnl,7.33,Pass,Non-IT
ddt,5.83,Pass,Non-IT
ddt,6.63,Pass,Non-IT
ddt,6.33,Pass,Non-IT
ddt,3.48,Fail,Non-IT
ddt,4.1,Fail,Non-IT
ddt,8.4,Pass,Non-IT
ddt,5.23,Pass,Non-IT
ddt,6.96,Pass,Non-IT
ddt,4.75,Fail,Non-IT
ddt,7.0,Pass,Non-IT
ddt,6.25,Pass,Non-IT
khhh,5.75,Pass,Non-IT
khhh,8.71,Pass,Non-IT
khhh,9.13,Pass,Non-IT
khhh,6.08,Pass,Non-IT
khhh,7.17,Pass,Non-IT
khhh,5.25,Pass,Non-IT
khhh,8.25,Pass,Non-IT
khhh,5.96,Pass,Non-IT
khhh,8.04,Pass,Non-IT
khhh,4.21,Fail,Non-IT
khhh,7.08,Pass,Non-IT
khhh,6.27,Pass,Non-IT
khhh,6.25,Pass,Non-IT
khhh,9.5,Pass,Non-IT
khhh,5.88,Pass,Non-IT
khhh,4.94,Fail,Non-IT
khhh,8.5,Pass,Non-IT
khhh,8.65,Pass,Non-IT
khhh,5.42,Pass,Non-IT
khhh,4.85,Fail,Non-IT
khhh,4.17,Fail,Non-IT
khhh,6.71,Pass,Non-IT
khhh,5.58,Pass,Non-IT
khhh,5.31,Pass,Non-IT
khhh,4.79,Fail,Non-IT
khhh,6.42,Pass,Non-IT
khhh,5.71,Pass,Non-IT
khhh,3.83,Fail,Non-IT
khhh,7.42,Pass,Non-IT
khhh,7.58,Pass,Non-IT
khhh,4.46,Fail,Non-IT
khhh,8.21,Pass,Non-IT
khhh,7.65,Pass,Non-IT
khhh,7.08,Pass,Non-IT
cntt,6.67,Pass,IT
khhh,8.25,Pass,Non-IT
khhh,5.6,Pass,Non-IT
khhh,4.98,Fail,Non-IT
khhh,7.17,Pass,Non-IT
khhh,7.25,Pass,Non-IT
khhh,4.83,Fail,Non-IT
khhh,5.5,Pass,Non-IT
khhh,4.21,Fail,Non-IT
khhh,5.65,Pass,Non-IT
khhh,5.6,Pass,Non-IT
khhh,8.27,Pass,Non-IT
khhh,2.96,Fail,Non-IT
khhh,6.73,Pass,Non-IT
khhh,7.08,Pass,Non-IT
khhh,6.83,Pass,Non-IT
khhh,4.79,Fail,Non-IT
khhh,3.67,Fail,Non-IT
khmt,9.06,Pass,IT
khmt,7.88,Pass,IT
khmt,10.0,Pass,IT
khmt,5.58,Pass,IT
khmt,5.83,Pass,IT
khmt,7.08,Pass,IT
khmt,6.21,Pass,IT
khmt,4.29,Fail,IT
khmt,3.52,Fail,IT
khmt,6.9,Pass,IT
khmt,5.6,Pass,IT
khmt,7.58,Pass,IT
khmt,5.46,Pass,IT
khmt,4.56,Fail,IT
khmt,6.65,Pass,IT
khmt,4.27,Fail,IT
khmt,5.81,Pass,IT
khmt,2.9,Fail,IT
khmt,7.63,Pass,IT
khmt,2.81,Fail,IT
khmt,6.83,Pass,IT
khmt,8.13,Pass,IT
khmt,8.0,Pass,IT
khmt,4.17,Fail,IT
khmt,6.65,Pass,IT
ddt,6.9,Pass,Non-IT
khmt,5.02,Pass,IT
khmt,7.75,Pass,IT
khmt,6.56,Pass,IT
khmt,7.25,Pass,IT
khmt,6.54,Pass,IT
khmt,6.31,Pass,IT
khmt,7.58,Pass,IT
khmt,8.4,Pass,IT
khmt,6.65,Pass,IT
khmt,7.88,Pass,IT
khmt,5.98,Pass,IT
khmt,8.21,Pass,IT
khmt,5.65,Pass,IT
khmt,7.21,Pass,IT
khmt,7.75,Pass,IT
khmt,7.65,Pass,IT
khmt,6.67,Pass,IT
khmt,8.38,Pass,IT
khmt,6.88,Pass,IT
khmt,7.13,Pass,IT
khmt,9.06,Pass,IT
khmt,6.75,Pass,IT
khmt,9.31,Pass,IT
khmt,7.83,Pass,IT
khmt,9.81,Pass,IT
khmt,6.4,Pass,IT
khmt,5.71,Pass,IT
khmt,8.31,Pass,IT
khmt,6.75,Pass,IT
khmt,6.21,Pass,IT
khmt,5.48,Pass,IT
khmt,9.56,Pass,IT
khmt,9.81,Pass,IT
khmt,6.56,Pass,IT
khmt,4.46,Fail,IT
ktck,2.9,Fail,Non-IT
ktck,3.96,Fail,Non-IT
ktck,4.96,Fail,Non-IT
ktck,6.75,Pass,Non-IT
ktck,5.48,Pass,Non-IT
ktck,8.4,Pass,Non-IT
ktck,6.23,Pass,Non-IT
ktck,4.48,Fail,Non-IT
ktck,7.13,Pass,Non-IT
ktck,6.58,Pass,Non-IT
ktck,7.4,Pass,Non-IT
ktck,4.42,Fail,Non-IT
ktck,7.25,Pass,Non-IT
ktck,5.0,Pass,Non-IT
ktck,7.5,Pass,Non-IT
ktck,8.08,Pass,Non-IT
ktck,6.75,Pass,Non-IT
ktck,7.08,Pass,Non-IT
ktck,5.56,Pass,Non-IT
ktck,7.25,Pass,Non-IT
ktck,4.81,Fail,Non-IT
ktck,6.08,Pass,Non-IT
ktck,4.21,Fail,Non-IT
ktck,6.71,Pass,Non-IT
ktck,4.71,Fail,Non-IT
cntt,8.08,Pass,IT
ktck,7.23,Pass,Non-IT
ktck,7.75,Pass,Non-IT
ktck,5.15,Pass,Non-IT
ktck,5.75,Pass,Non-IT
ktck,7.81,Pass,Non-IT
ktck,9.0,Pass,Non-IT
ktck,5.31,Pass,Non-IT
ktck,5.75,Pass,Non-IT
ktck,7.17,Pass,Non-IT
ktck,6.5,Pass,Non-IT
ktck,5.29,Pass,Non-IT
ktck,7.4,Pass,Non-IT
ktck,5.96,Pass,Non-IT
ktck,6.79,Pass,Non-IT
ktck,5.5,Pass,Non-IT
ktck,6.33,Pass,Non-IT
ktck,6.15,Pass,Non-IT
ktck,8.5,Pass,Non-IT
ktck,6.06,Pass,Non-IT
ktck,7.56,Pass,Non-IT
ktck,5.65,Pass,Non-IT
ktck,6.08,Pass,Non-IT
ktck,5.04,Pass,Non-IT
ktck,5.25,Pass,Non-IT
ktck,6.46,Pass,Non-IT
ktck,5.81,Pass,Non-IT
ktck,6.79,Pass,Non-IT
ktck,8.0,Pass,Non-IT
ktck,4.33,Fail,Non-IT
ktck,6.25,Pass,Non-IT
ktck,7.19,Pass,Non-IT
ktck,8.58,Pass,Non-IT
ktck,6.35,Pass,Non-IT
ktck,6.25,Pass,Non-IT
ktck,4.58,Fail,Non-IT
cbts,5.31,Pass,Non-IT
ckdl,5.38,Pass,Non-IT
ktck,4.77,Fail,Non-IT
ktck,2.29,Fail,Non-IT
ktck,7.65,Pass,Non-IT
ktck,4.33,Fail,Non-IT
ktck,7.58,Pass,Non-IT
ktck,6.65,Pass,Non-IT
ktck,7.25,Pass,Non-IT
ktck,5.67,Pass,Non-IT
ktck,7.06,Pass,Non-IT
ktck,5.4,Pass,Non-IT
ktck,3.71,Fail,Non-IT
ktck,4.71,Fail,Non-IT
ktck,4.65,Fail,Non-IT
ktck,7.02,Pass,Non-IT
cnot,8.0,Pass,Non-IT
ktck,6.23,Pass,Non-IT
ktck,4.21,Fail,Non-IT
ktck,7.08,Pass,Non-IT
ktck,4.31,Fail,Non-IT
ktck,6.33,Pass,Non-IT
ktck,9.75,Pass,Non-IT
ktck,3.81,Fail,Non-IT
ktck,6.65,Pass,Non-IT
ktck,7.08,Pass,Non-IT
ktck,4.4,Fail,Non-IT
ktck,7.04,Pass,Non-IT
ktck,5.5,Pass,Non-IT
ktck,5.46,Pass,Non-IT
ktck,7.81,Pass,Non-IT
ktck,4.06,Fail,Non-IT
ktck,5.15,Pass,Non-IT
ktck,4.9,Fail,Non-IT
ktck,7.79,Pass,Non-IT
ktck,4.15,Fail,Non-IT
ktck,5.42,Pass,Non-IT
ktck,7.48,Pass,Non-IT
ktck,4.79,Fail,Non-IT
ktck,5.5,Pass,Non-IT
ktck,5.35,Pass,Non-IT
ktck,4.73,Fail,Non-IT
ktck,3.65,Fail,Non-IT
ktck,2.65,Fail,Non-IT
ktck,6.73,Pass,Non-IT
ktck,6.08,Pass,Non-IT
ktck,8.65,Pass,Non-IT
ktck,6.67,Pass,Non-IT
ktck,5.21,Pass,Non-IT
ktck,6.71,Pass,Non-IT
ktck,4.9,Fail,Non-IT
ktck,7.75,Pass,Non-IT
ktck,7.02,Pass,Non-IT
ktck,3.88,Fail,Non-IT
ktck,4.96,Fail,Non-IT
ktck,4.04,Fail,Non-IT
ktck,6.83,Pass,Non-IT
ktck,7.31,Pass,Non-IT
ktck,5.98,Pass,Non-IT
ktck,3.98,Fail,Non-IT
ktck,6.06,Pass,Non-IT
cnxd,5.56,Pass,Non-IT
ktck,4.38,Fail,Non-IT
cntt,6.38,Pass,IT
tdh,9.75,Pass,Non-IT
tdh,6.58,Pass,Non-IT
tdh,6.71,Pass,Non-IT
tdh,4.23,Fail,Non-IT
tdh,4.67,Fail,Non-IT
tdh,3.46,Fail,Non-IT
cntt,7.88,Pass,IT
tdh,2.96,Fail,Non-IT
tdh,3.17,Fail,Non-IT
tdh,3.79,Fail,Non-IT
khhh,4.38,Fail,Non-IT
tdh,7.17,Pass,Non-IT
tdh,5.17,Pass,Non-IT
tdh,4.75,Fail,Non-IT
tdh,6.25,Pass,Non-IT
tdh,5.35,Pass,Non-IT
tdh,5.19,Pass,Non-IT
tdh,2.29,Fail,Non-IT
tdh,8.5,Pass,Non-IT
tdh,3.92,Fail,Non-IT
tdh,6.21,Pass,Non-IT
tdh,5.83,Pass,Non-IT
tdh,4.25,Fail,Non-IT
tdh,3.65,Fail,Non-IT
tdh,6.5,Pass,Non-IT
tdh,5.0,Pass,Non-IT
tdh,4.27,Fail,Non-IT
tdh,5.44,Pass,Non-IT
tdh,7.27,Pass,Non-IT
tdh,2.92,Fail,Non-IT
tdh,6.38,Pass,Non-IT
tdh,7.25,Pass,Non-IT
tdh,4.29,Fail,Non-IT
tdh,5.67,Pass,Non-IT
tdh,3.71,Fail,Non-IT
tdh,5.13,Pass,Non-IT
tdh,4.54,Fail,Non-IT
tdh,4.58,Fail,Non-IT
tdh,4.54,Fail,Non-IT
tdh,5.33,Pass,Non-IT
tdh,4.5,Fail,Non-IT
tdh,9.5,Pass,Non-IT
tdh,4.29,Fail,Non-IT
tdh,5.04,Pass,Non-IT
tdh,6.9,Pass,Non-IT
tdh,9.06,Pass,Non-IT
tdh,4.1,Fail,Non-IT
tdh,4.29,Fail,Non-IT
tdh,4.9,Fail,Non-IT
tdh,5.73,Pass,Non-IT
tdh,4.13,Fail,Non-IT
tdh,5.94,Pass,Non-IT
khhh,4.46,Fail,Non-IT
tdh,5.21,Pass,Non-IT
tdh,6.0,Pass,Non-IT
tdh,5.23,Pass,Non-IT
tdh,5.15,Pass,Non-IT
cdt,4.71,Fail,Non-IT
tdh,4.33,Fail,Non-IT
tdh,5.46,Pass,Non-IT
tdh,3.67,Fail,Non-IT
tdh,2.77,Fail,Non-IT
tdh,4.42,Fail,Non-IT
tdh,4.13,Fail,Non-IT
tdh,4.81,Fail,Non-IT
tdh,9.38,Pass,Non-IT
tdh,4.38,Fail,Non-IT
tdh,3.69,Fail,Non-IT
tdh,4.5,Fail,Non-IT
tdh,7.06,Pass,Non-IT
tdh,4.21,Fail,Non-IT
ktck,5.71,Pass,Non-IT
ttql,8.83,Pass,IT
ttql,8.5,Pass,IT
ttql,9.0,Pass,IT
ttql,9.25,Pass,IT
ttql,10.0,Pass,IT
ttql,9.25,Pass,IT
ttql,9.5,Pass,IT
ttql,9.25,Pass,IT
ttql,8.75,Pass,IT
ttql,6.15,Pass,IT
ttql,9.0,Pass,IT
ttql,8.83,Pass,IT
ttql,7.5,Pass,IT
ttql,9.0,Pass,IT
ttql,8.5,Pass,IT
ttql,9.08,Pass,IT
ttql,5.38,Pass,IT
ttql,8.25,Pass,IT
ttql,6.25,Pass,IT
ttql,6.75,Pass,IT
ttql,9.25,Pass,IT
ttql,6.25,Pass,IT
ttql,8.58,Pass,IT
ttql,5.04,Pass,IT
ttql,8.42,Pass,IT
ttql,8.25,Pass,IT
ttql,7.0,Pass,IT
ttql,8.33,Pass,IT
ttql,5.94,Pass,IT
ttql,7.58,Pass,IT
ttql,7.13,Pass,IT
ttql,6.25,Pass,IT
ttql,3.33,Fail,IT
ttql,3.33,Fail,IT
ttql,9.0,Pass,IT
ttql,4.52,Fail,IT
ttql,5.13,Pass,IT
ttql,8.75,Pass,IT
ttql,6.69,Pass,IT
ttql,3.1,Fail,IT
ttql,5.5,Pass,IT
ttql,6.63,Pass,IT
ttql,8.56,Pass,IT
ttql,5.75,Pass,IT
ttql,9.0,Pass,IT
ttql,8.75,Pass,IT
ttql,7.33,Pass,IT
ttql,9.5,Pass,IT
ttql,4.0,Fail,IT
ttql,4.79,Fail,IT
