Major,Grade,Result,MajorGroup
cnhh,5.79,Pass,Non-IT
cnhh,6.5,Pass,Non-IT
cnhh,7.5,Pass,Non-IT
cnhh,5.4,Pass,Non-IT
cnmt,5.17,Pass,Non-IT
cnmt,5.1,Pass,Non-IT
cnmt,8.08,Pass,Non-IT
cnmt,6.15,Pass,Non-IT
cnhh,6.27,Pass,Non-IT
cnhh,6.29,Pass,Non-IT
cnhh,7.0,Pass,Non-IT
cnmt,6.71,Pass,Non-IT
cnmt,6.48,Pass,Non-IT
cnot,4.75,Fail,Non-IT
cnot,5.25,Pass,Non-IT
cnot,5.79,Pass,Non-IT
kttt,3.44,Fail,Non-IT
cnxd,5.08,Pass,Non-IT
cnot,8.75,Pass,Non-IT
cnot,8.33,Pass,Non-IT
cnot,6.92,Pass,Non-IT
cnot,4.5,Fail,Non-IT
cnot,6.58,Pass,Non-IT
cnot,8.0,Pass,Non-IT
cnot,6.0,Pass,Non-IT
cnot,5.77,Pass,Non-IT
cnot,4.63,Fail,Non-IT
cnot,5.79,Pass,Non-IT
cnot,5.42,Pass,Non-IT
cnot,8.5,Pass,Non-IT
cnot,7.75,Pass,Non-IT
cnot,5.13,Pass,Non-IT
cnot,6.29,Pass,Non-IT
cnot,5.38,Pass,Non-IT
cnot,4.52,Fail,Non-IT
cnot,6.63,Pass,Non-IT
cnot,6.1,Pass,Non-IT
cnot,5.38,Pass,Non-IT
cnot,7.75,Pass,Non-IT
cnot,6.0,Pass,Non-IT
cnot,5.75,Pass,Non-IT
cnot,4.75,Fail,Non-IT
cnot,3.67,Fail,Non-IT
cnot,5.1,Pass,Non-IT
ddt,8.15,Pass,Non-IT
cnot,5.5,Pass,Non-IT
cnot,4.77,Fail,Non-IT
cnot,5.73,Pass,Non-IT
cnot,6.98,Pass,Non-IT
cnot,8.33,Pass,Non-IT
cnot,5.58,Pass,Non-IT
cnot,5.48,Pass,Non-IT
cnot,7.83,Pass,Non-IT
cnot,6.67,Pass,Non-IT
cnot,6.17,Pass,Non-IT
cnot,6.79,Pass,Non-IT
cnot,4.73,Fail,Non-IT
cnot,7.96,Pass,Non-IT
cnot,6.5,Pass,Non-IT
cnot,8.58,Pass,Non-IT
cnot,5.5,Pass,Non-IT
cnot,7.06,Pass,Non-IT
cnot,4.46,Fail,Non-IT
cnot,7.25,Pass,Non-IT
cnot,7.06,Pass,Non-IT
cnot,8.63,Pass,Non-IT
cnot,7.23,Pass,Non-IT
cnot,7.75,Pass,Non-IT
cnot,6.75,Pass,Non-IT
cnot,5.23,Pass,Non-IT
cnot,6.46,Pass,Non-IT
cnot,7.06,Pass,Non-IT
cnot,8.04,Pass,Non-IT
cnot,6.08,Pass,Non-IT
cnot,7.33,Pass,Non-IT
cnot,6.42,Pass,Non-IT
cnot,6.5,Pass,Non-IT
cnot,6.81,Pass,Non-IT
cnot,5.58,Pass,Non-IT
cnot,5.19,Pass,Non-IT
cnot,4.42,Fail,Non-IT
cnot,6.96,Pass,Non-IT
cnot,5.56,Pass,Non-IT
cnot,5.75,Pass,Non-IT
cnot,6.38,Pass,Non-IT
cnot,7.6,Pass,Non-IT
cnot,6.25,Pass,Non-IT
cnot,8.58,Pass,Non-IT
cnot,7.63,Pass,Non-IT
cnot,6.02,Pass,Non-IT
cnot,7.88,Pass,Non-IT
cnot,5.04,Pass,Non-IT
cnot,8.1,Pass,Non-IT
cnot,5.5,Pass,Non-IT
cnot,6.29,Pass,Non-IT
cnot,5.88,Pass,Non-IT
cnot,2.92,Fail,Non-IT
cnot,7.13,Pass,Non-IT
cnot,4.65,Fail,Non-IT
cnot,6.9,Pass,Non-IT
cnot,5.15,Pass,Non-IT
cnot,6.46,Pass,Non-IT
cnot,4.13,Fail,Non-IT
cnot,5.63,Pass,Non-IT
cnot,4.04,Fail,Non-IT
cnot,7.38,Pass,Non-IT
cnot,6.23,Pass,Non-IT
cnot,3.75,Fail,Non-IT
cnot,8.79,Pass,Non-IT
cnot,6.46,Pass,Non-IT
cnot,4.9,Fail,Non-IT
cnot,6.83,Pass,Non-IT
cnot,4.9,Fail,Non-IT
cnot,7.56,Pass,Non-IT
cnot,7.58,Pass,Non-IT
cnot,8.15,Pass,Non-IT
cnot,5.73,Pass,Non-IT
cnot,3.96,Fail,Non-IT
cnot,7.38,Pass,Non-IT
cnot,5.92,Pass,Non-IT
cnot,3.96,Fail,Non-IT
cnot,7.96,Pass,Non-IT
cnot,6.67,Pass,Non-IT
cnot,7.25,Pass,Non-IT
cnot,4.25,Fail,Non-IT
cnot,7.06,Pass,Non-IT
cnot,3.15,Fail,Non-IT
cnot,8.31,Pass,Non-IT
cnot,7.27,Pass,Non-IT
cnot,3.79,Fail,Non-IT
cnot,6.0,Pass,Non-IT
cnot,6.29,Pass,Non-IT
cnot,6.25,Pass,Non-IT
cnot,7.35,Pass,Non-IT
cnot,5.58,Pass,Non-IT
cnot,6.71,Pass,Non-IT
cnot,8.63,Pass,Non-IT
cnot,5.67,Pass,Non-IT
cnot,4.88,Fail,Non-IT
cnot,6.96,Pass,Non-IT
cnot,6.27,Pass,Non-IT
cnot,8.38,Pass,Non-IT
cnot,7.27,Pass,Non-IT
cnot,5.08,Pass,Non-IT
cnot,5.27,Pass,Non-IT
cnot,9.08,Pass,Non-IT
cnot,8.0,Pass,Non-IT
cnot,5.96,Pass,Non-IT
cnot,8.33,Pass,Non-IT
cnot,7.75,Pass,Non-IT
cnot,8.0,Pass,Non-IT
cnot,4.88,Fail,Non-IT
cnot,8.75,Pass,Non-IT
cnot,4.67,Fail,Non-IT
cnot,5.38,Pass,Non-IT
cnot,3.23,Fail,Non-IT
cnot,4.75,Fail,Non-IT
cnot,5.29,Pass,Non-IT
cnot,5.25,Pass,Non-IT
cnot,5.21,Pass,Non-IT
cnot,5.9,Pass,Non-IT
cnot,8.75,Pass,Non-IT
cnot,7.13,Pass,Non-IT
cnot,4.58,Fail,Non-IT
cnot,6.21,Pass,Non-IT
cnot,7.15,Pass,Non-IT
cnot,5.15,Pass,Non-IT
cnot,5.31,Pass,Non-IT
cnot,7.25,Pass,Non-IT
cnot,6.25,Pass,Non-IT
cnot,6.06,Pass,Non-IT
cnot,6.23,Pass,Non-IT
cnot,6.63,Pass,Non-IT
cnot,6.9,Pass,Non-IT
cnot,7.08,Pass,Non-IT
cnot,9.17,Pass,Non-IT
cnot,9.0,Pass,Non-IT
ctm,4.46,Fail,Non-IT
cnot,6.0,Pass,Non-IT
cnot,7.13,Pass,Non-IT
cnot,7.75,Pass,Non-IT
cnot,7.33,Pass,Non-IT
cnot,5.81,Pass,Non-IT
cnot,6.75,Pass,Non-IT
cnot,8.08,Pass,Non-IT
cnot,7.33,Pass,Non-IT
cnot,7.44,Pass,Non-IT
cnot,5.15,Pass,Non-IT
cnot,6.08,Pass,Non-IT
cnot,8.0,Pass,Non-IT
cnot,9.83,Pass,Non-IT
cnot,5.96,Pass,Non-IT
cnot,6.58,Pass,Non-IT
cnot,6.38,Pass,Non-IT
cnot,6.5,Pass,Non-IT
cnot,8.83,Pass,Non-IT
cnot,4.21,Fail,Non-IT
cnot,6.9,Pass,Non-IT
cnot,8.5,Pass,Non-IT
cnot,6.38,Pass,Non-IT
cnot,8.58,Pass,Non-IT
cnot,5.9,Pass,Non-IT
cnot,6.38,Pass,Non-IT
cntt,6.08,Pass,IT
cntt,7.31,Pass,IT
cnhh,8.13,Pass,Non-IT
cntt,5.56,Pass,IT
cntt,5.6,Pass,IT
cntt,5.08,Pass,IT
cntt,5.08,Pass,IT
cntt,8.25,Pass,IT
cntt,8.65,Pass,IT
cntt,5.08,Pass,IT
cntt,7.71,Pass,IT
cntt,9.56,Pass,IT
cntt,3.98,Fail,IT
cntt,6.48,Pass,IT
cntt,7.73,Pass,IT
cntt,6.71,Pass,IT
cntt,5.9,Pass,IT
cntt,7.33,Pass,IT
cntt,7.31,Pass,IT
cntt,3.9,Fail,IT
cntt,7.46,Pass,IT
cntt,8.65,Pass,IT
cntt,5.23,Pass,IT
cntt,8.75,Pass,IT
cntt,8.4,Pass,IT
cntt,4.58,Fail,IT
cntt,7.06,Pass,IT
cntt,8.81,Pass,IT
cntt,8.31,Pass,IT
cntt,5.4,Pass,IT
cntt,4.65,Fail,IT
cntt,8.81,Pass,IT
cntt,6.21,Pass,IT
cntt,9.5,Pass,IT
cntt,4.21,Fail,IT
cntt,5.13,Pass,IT
cntt,7.06,Pass,IT
